date,open,high,low,close,volume,percentSP500,percentNASDAQ,percentVIX,percentTNX,percentFTSE,target
1/10/1990,349.62,349.62,344.32,347.31,175990000,-0.66,-1.34,1.08,0.12,-0.97,1
1/11/1990,347.31,350.14,347.31,348.53,154390000,0.35,-1.34,-10.65,0.12,0.22,-1
1/12/1990,348.53,348.53,339.49,339.93,183880000,-2.47,-0.4,22.89,0.75,-1.56,-1
1/15/1990,339.93,339.94,336.57,337,140590000,-0.86,-2.05,6.9,0.75,-0.58,1
1/16/1990,337,340.75,333.37,340.75,186070000,1.11,-0.71,-8.2,1.23,-0.72,-1
1/17/1990,340.77,342.01,336.26,337.4,170470000,-0.98,0.82,-0.08,-0.12,1.06,1
1/18/1990,337.4,338.38,333.98,338.19,178590000,0.23,-0.34,0.75,1.59,-1.56,1
1/19/1990,338.19,340.48,338.19,339.15,185590000,0.28,-0.27,-7.56,-0.72,-0.08,-1
1/22/1990,339.14,339.96,330.28,330.38,148380000,-2.59,0.78,18.67,0.12,-1.62,1
1/23/1990,330.38,332.76,328.67,331.61,179300000,0.37,-2.04,-7.42,-0.12,-0.26,-1
1/24/1990,331.61,331.71,324.17,330.26,207830000,-0.41,-0.35,2.71,1.45,-0.55,-1
1/25/1990,330.26,332.33,325.33,326.08,172270000,-1.27,-1.09,0.95,0.48,0.5,-1
1/26/1990,326.09,328.58,321.44,325.8,198190000,-0.09,-0.12,2.54,0.83,1.07,-1
1/29/1990,325.8,327.31,321.79,325.2,150770000,-0.18,-0.92,0.61,0.12,0.62,-1
1/30/1990,325.2,325.73,319.83,322.98,186030000,-0.68,-0.76,3.06,0.12,-0.29,1
1/31/1990,322.98,329.08,322.98,329.08,189660000,1.89,-1.77,-6.94,-0.94,0.66,-1
2/1/1990,329.08,329.86,327.76,328.79,154580000,-0.09,1.24,-1.93,-0.12,0.36,1
2/2/1990,328.79,332.1,328.09,330.92,164400000,0.65,0.48,-2.21,0.95,0.4,1
2/5/1990,330.92,332.16,330.45,331.85,130950000,0.28,1.05,0.9,0.35,-0.28,-1
2/6/1990,331.85,331.86,328.2,329.66,134070000,-0.66,0.59,0.61,0.47,-1.16,1
2/7/1990,329.66,333.76,326.55,333.75,186710000,1.24,-0.16,-1.62,-0.58,-0.59,-1
2/8/1990,333.75,336.09,332,332.96,176240000,-0.24,0.66,-2.14,-0.35,1.02,1
2/9/1990,333.02,334.6,332.41,333.62,146910000,0.2,0.12,-0.34,-2.12,-0.75,-1
2/12/1990,333.62,333.62,329.97,330.08,118390000,-1.06,0.35,2.91,1.08,-1.15,1
2/13/1990,330.08,331.61,327.92,331.02,144490000,0.28,-0.56,-2.54,-0.6,0.28,1
2/14/1990,331.02,333.2,330.64,332.01,138530000,0.3,-0.14,-7.2,0.12,0.22,1
2/15/1990,332.01,335.21,331.61,334.89,174620000,0.87,0.19,-10.61,0.84,0.67,-1
2/16/1990,334.89,335.64,332.42,332.72,166840000,-0.65,0.7,5.43,-0.12,0.52,-1
2/20/1990,332.72,332.72,326.26,327.99,147300000,-1.42,-0.14,9.62,2.38,-0.88,-1
2/21/1990,327.91,328.17,324.47,327.67,159240000,-0.1,-1.21,4.87,0,-0.76,-1
2/22/1990,327.67,330.98,325.7,325.7,184320000,-0.6,-0.54,-5.65,-0.93,0.42,-1
2/23/1990,325.7,326.15,322.1,324.15,148490000,-0.48,0.31,5.1,-0.12,-2.01,1
2/26/1990,324.16,328.67,323.98,328.67,148900000,1.39,-0.78,-0.55,-0.82,1.15,1
2/27/1990,328.68,331.94,328.47,330.26,152590000,0.48,0.36,-3.69,-0.59,0.24,1
2/28/1990,330.26,333.48,330.16,331.89,184400000,0.49,0.38,-3.09,1.19,0.03,1
3/1/1990,331.89,334.4,331.08,332.74,157930000,0.26,0.76,-0.41,0.94,-0.75,1
3/2/1990,332.74,335.54,332.72,335.54,164330000,0.84,0.33,-2.56,-0.58,0.73,-1
3/5/1990,335.54,336.38,333.49,333.74,140110000,-0.54,0.89,3.23,1.29,-1.08,1
3/6/1990,333.74,337.93,333.57,337.93,143640000,1.26,-0.19,-6.72,-0.69,-0.65,-1
3/7/1990,337.93,338.84,336.33,336.95,163580000,-0.29,0.49,-7.06,-0.12,0.65,1
3/8/1990,336.95,340.66,336.95,340.27,170900000,0.99,0.05,3.35,-0.12,0.88,-1
3/9/1990,340.12,340.27,336.84,337.93,150410000,-0.69,0.92,2.84,0.93,-0.7,1
3/12/1990,337.93,339.08,336.14,338.67,114790000,0.22,0.07,-1.13,-0.23,-0.51,-1
3/13/1990,338.67,338.67,335.36,336,145440000,-0.79,-0.05,4.88,1.16,0.08,1
3/14/1990,336,337.63,334.93,336.87,145060000,0.26,-0.46,-6.65,-0.92,0.07,1
3/15/1990,336.87,338.91,336.87,338.07,144410000,0.36,0.37,-4.27,0.12,0.4,1
3/16/1990,338.07,341.91,338.07,341.91,222520000,1.14,0.44,-6.33,-0.81,1.3,1
3/19/1990,341.91,343.76,339.12,343.53,142300000,0.47,0.94,3.8,0,-1.14,-1
3/20/1990,343.53,344.49,340.87,341.57,177320000,-0.57,0.16,4.21,-0.58,0.97,-1
3/21/1990,341.57,342.34,339.56,339.74,130990000,-0.54,-0.63,5.46,0.12,-0.42,-1
3/22/1990,339.74,339.77,333.62,335.69,175930000,-1.19,-0.18,13.13,-0.23,0.38,1
3/23/1990,335.69,337.58,335.69,337.22,132070000,0.46,-1.09,-10.03,-0.12,1.11,1
3/26/1990,337.22,339.74,337.22,337.63,116110000,0.12,0.64,-4.25,-0.12,0.63,1
3/27/1990,337.63,341.5,337.03,341.5,131610000,1.15,0.34,7.25,0.12,-1.39,1
3/28/1990,341.5,342.58,340.6,342,142300000,0.15,0.16,-5.9,-0.12,0.39,-1
3/29/1990,342,342.07,339.77,340.79,132190000,-0.35,-0.64,-6.63,1.06,-0.53,-1
3/30/1990,340.79,341.41,338.21,339.94,139340000,-0.25,-0.3,6.88,0.58,-0.67,-1
4/2/1990,339.94,339.94,336.33,338.7,124360000,-0.36,0.02,15.76,0,-1.17,1
4/3/1990,338.7,343.76,338.7,343.64,154310000,1.46,-0.53,-10.51,-0.23,0.86,-1
4/4/1990,343.64,344.12,340.4,341.09,159530000,-0.74,1.04,7.78,-0.93,-0.41,-1
4/5/1990,341.09,342.85,340.63,340.73,144170000,-0.11,-0.53,-3.72,0.23,0.35,-1
4/6/1990,340.73,341.73,338.94,340.08,137490000,-0.19,-0.45,2.59,-0.12,-0.82,1
4/9/1990,340.08,341.83,339.88,341.37,114970000,0.38,-0.58,2.48,0.35,0.3,1
4/10/1990,341.37,342.41,340.62,342.07,136020000,0.21,-0.16,-2.74,0.12,-0.46,-1
4/11/1990,342.07,343,341.26,341.92,141080000,-0.04,0.4,-18.26,0.35,-0.09,1
4/12/1990,341.92,344.79,341.91,344.34,142470000,0.71,0.37,11.68,0.12,0.3,1
4/16/1990,344.34,347.3,344.1,344.74,142810000,0.12,0.65,4.8,0.46,0,-1
4/17/1990,344.74,345.19,342.06,344.68,127990000,-0.02,0.09,-1.78,1.04,-0.34,-1
4/18/1990,344.68,345.33,340.11,340.72,147130000,-1.15,-0.3,11.24,1.03,-0.39,-1
4/19/1990,340.72,340.72,337.59,338.09,152930000,-0.77,-0.9,-0.93,0.11,-0.96,-1
4/20/1990,338.09,338.52,333.41,335.12,174260000,-0.88,-0.58,3.87,0.9,0.11,-1
4/23/1990,335.12,335.12,330.09,331.05,136150000,-1.21,-0.75,3.56,0.34,-1.28,-1
4/24/1990,331.05,332.97,329.71,330.36,137360000,-0.21,-1.34,-10.18,0.22,0.03,1
4/25/1990,330.36,332.74,330.36,332.03,133480000,0.51,-0.21,-3.87,0.11,-0.78,1
4/26/1990,332.03,333.76,330.67,332.92,141330000,0.27,0.33,-2.92,0.67,-0.44,-1
4/27/1990,332.92,333.57,328.71,329.11,130630000,-1.14,0.12,9.58,-0.11,-1.27,1
4/30/1990,329.11,331.31,327.76,330.8,122750000,0.51,-0.74,-12.03,-0.22,-0.15,1
5/1/1990,330.8,332.83,330.8,332.25,149020000,0.44,0.5,-5.58,0.44,0.69,1
5/2/1990,332.25,334.48,332.15,334.48,141610000,0.67,0.43,4.83,0.11,0.93,1
5/3/1990,334.48,337.02,334.47,335.57,145560000,0.33,0.4,-7.82,-0.55,-0.13,1
5/4/1990,335.58,338.46,335.17,338.39,140550000,0.84,0.42,-2.98,-2.21,1.28,1
5/7/1990,338.39,341.07,338.11,340.53,132760000,0.63,0.75,2.14,0.34,0,1
5/8/1990,340.53,342.03,340.17,342.01,144230000,0.43,0.61,4.76,-0.34,0.92,1
5/9/1990,342.01,343.08,340.9,342.86,152220000,0.25,0.14,0.81,0.45,-0.88,1
5/10/1990,342.87,344.98,342.77,343.82,158460000,0.28,-0.12,-0.27,-0.68,-0.26,1
5/11/1990,343.82,352.31,343.82,352,234040000,2.38,0.44,6.56,-2.04,0.88,1
5/14/1990,352,358.41,351.95,354.75,225410000,0.78,1.13,1.67,-0.35,1.77,-1
5/15/1990,354.75,355.09,352.84,354.28,165730000,-0.13,0.8,-3.23,0.46,-0.1,-1
5/16/1990,354.27,354.68,351.95,354,159810000,-0.08,0.2,-9.13,0.35,0.45,1
5/17/1990,354,356.92,354,354.47,164770000,0.13,0.09,-2.48,0.12,2.8,1
5/18/1990,354.47,354.64,352.52,354.64,162520000,0.05,0.63,-0.41,0.69,-0.67,1
5/21/1990,354.64,359.07,353.78,358,166280000,0.95,0.58,-2.79,-0.11,0.57,1
5/22/1990,358,360.5,356.09,358.43,203350000,0.12,1.03,6.7,-1.03,1.28,1
5/23/1990,358.43,359.29,356.99,359.29,172330000,0.24,0.22,-3.7,-0.46,-1.03,-1
5/24/1990,359.29,359.56,357.87,358.41,155140000,-0.24,0.66,3.03,0.23,-0.45,-1
