Date,Value
04/14/14,0.37
04/11/14,0.37
04/10/14,0.37
04/09/14,0.37
04/08/14,0.4
04/07/14,0.41
04/04/14,0.43
04/03/14,0.46
04/02/14,0.47
04/01/14,0.44
03/31/14,0.44
03/28/14,0.45
03/27/14,0.45
03/26/14,0.45
03/25/14,0.47
03/24/14,0.47
03/21/14,0.45
03/20/14,0.45
03/19/14,0.47
03/18/14,0.36
03/17/14,0.38
03/14/14,0.36
03/13/14,0.34
03/12/14,0.37
03/11/14,0.37
03/10/14,0.37
03/07/14,0.38
03/06/14,0.37
03/05/14,0.33
03/04/14,0.33
03/03/14,0.32
02/28/14,0.33
02/27/14,0.33
02/26/14,0.33
02/25/14,0.34
02/24/14,0.35
02/21/14,0.33
02/20/14,0.34
02/19/14,0.33
02/18/14,0.31
02/14/14,0.32
02/13/14,0.32
02/12/14,0.35
02/11/14,0.35
02/10/14,0.32
02/07/14,0.3
02/06/14,0.33
02/05/14,0.32
02/04/14,0.31
02/03/14,0.3
01/31/14,0.34
01/30/14,0.36
01/29/14,0.36
01/28/14,0.38
01/27/14,0.37
01/24/14,0.37
01/23/14,0.39
01/22/14,0.44
01/21/14,0.4
01/17/14,0.4
01/16/14,0.41
01/15/14,0.41
01/14/14,0.39
01/13/14,0.39
01/10/14,0.39
01/09/14,0.44
01/08/14,0.43
01/07/14,0.4
01/06/14,0.4
01/03/14,0.41
01/02/14,0.39
12/31/13,0.38
12/30/13,0.39
12/27/13,0.4
12/26/13,0.42
12/24/13,0.38
12/23/13,0.38
12/20/13,0.37
12/19/13,0.35
12/18/13,0.32
12/17/13,0.34
12/16/13,0.34
12/13/13,0.34
12/12/13,0.34
12/11/13,0.31
12/10/13,0.3
12/09/13,0.3
12/06/13,0.3
12/05/13,0.3
12/04/13,0.3
12/03/13,0.28
12/02/13,0.3
11/29/13,0.28
11/27/13,0.28
11/26/13,0.29
11/25/13,0.3
11/22/13,0.31
11/21/13,0.29
11/20/13,0.28
11/19/13,0.29
11/18/13,0.31
11/15/13,0.31
11/14/13,0.29
11/13/13,0.32
11/12/13,0.34
11/08/13,0.32
11/07/13,0.29
11/06/13,0.3
11/05/13,0.32
11/04/13,0.32
11/01/13,0.33
10/31/13,0.31
10/30/13,0.33
10/29/13,0.31
10/28/13,0.32
10/25/13,0.32
10/24/13,0.33
10/23/13,0.31
10/22/13,0.31
10/21/13,0.33
10/18/13,0.33
10/17/13,0.33
10/16/13,0.34
10/15/13,0.37
10/11/13,0.35
10/10/13,0.35
10/09/13,0.37
10/08/13,0.4
10/07/13,0.37
10/04/13,0.33
10/03/13,0.33
10/02/13,0.31
10/01/13,0.33
09/30/13,0.33
09/27/13,0.34
09/26/13,0.34
09/25/13,0.36
09/24/13,0.35
09/23/13,0.35
09/20/13,0.34
09/19/13,0.34
09/18/13,0.34
09/17/13,0.39
09/16/13,0.41
09/13/13,0.45
09/12/13,0.45
09/11/13,0.47
09/10/13,0.5
09/09/13,0.45
09/06/13,0.46
09/05/13,0.52
09/04/13,0.46
09/03/13,0.43
08/30/13,0.39
08/29/13,0.39
08/28/13,0.4
08/27/13,0.38
08/26/13,0.41
08/23/13,0.4
08/22/13,0.42
08/21/13,0.38
08/20/13,0.36
08/19/13,0.36
08/16/13,0.36
08/15/13,0.36
08/14/13,0.34
08/13/13,0.34
08/12/13,0.32
08/09/13,0.32
08/08/13,0.3
08/07/13,0.32
08/06/13,0.32
08/05/13,0.32
08/02/13,0.3
08/01/13,0.35
07/31/13,0.31
07/30/13,0.33
07/29/13,0.33
07/26/13,0.31
07/25/13,0.32
07/24/13,0.34
07/23/13,0.33
07/22/13,0.32
07/19/13,0.32
07/18/13,0.32
07/17/13,0.32
07/16/13,0.34
07/15/13,0.34
07/12/13,0.37
07/11/13,0.34
07/10/13,0.38
07/09/13,0.37
07/08/13,0.37
07/05/13,0.4
07/03/13,0.36
07/02/13,0.34
07/01/13,0.34
06/28/13,0.36
06/27/13,0.36
06/26/13,0.39
06/25/13,0.43
06/24/13,0.42
06/21/13,0.38
06/20/13,0.33
06/19/13,0.31
06/18/13,0.27
06/17/13,0.27
06/14/13,0.29
06/13/13,0.32
06/12/13,0.34
06/11/13,0.34
06/10/13,0.32
06/07/13,0.32
06/06/13,0.3
06/05/13,0.3
06/04/13,0.32
06/03/13,0.3
05/31/13,0.3
05/30/13,0.31
05/29/13,0.3
05/28/13,0.29
05/24/13,0.26
05/23/13,0.26
05/22/13,0.26
05/21/13,0.26
05/20/13,0.26
05/17/13,0.26
05/16/13,0.23
05/15/13,0.26
05/14/13,0.26
05/13/13,0.24
05/10/13,0.26
05/09/13,0.22
05/08/13,0.22
05/07/13,0.22
05/06/13,0.22
05/03/13,0.22
05/02/13,0.2
05/01/13,0.2
04/30/13,0.22
04/29/13,0.2
04/26/13,0.22
04/25/13,0.23
04/24/13,0.23
04/23/13,0.23
04/22/13,0.24
04/19/13,0.24
04/18/13,0.24
04/17/13,0.24
04/16/13,0.24
04/15/13,0.22
04/12/13,0.22
04/11/13,0.24
04/10/13,0.24
04/09/13,0.24
04/08/13,0.24
04/05/13,0.24
04/04/13,0.22
04/03/13,0.24
04/02/13,0.25
04/01/13,0.23
03/28/13,0.25
