Date,Rate,High (est),Low (est)
04/16/14,1.38209,0,0
04/15/14,1.38554,0,0
04/14/14,1.38781,1.4043,1.3716
04/11/14,1.38419,0,0
04/10/14,1.37907,1.395,1.3633
04/09/14,1.37492,0,0
04/08/14,1.37136,0,0
04/07/14,1.37209,1.3878,1.3565
04/04/14,1.37639,0,0
04/03/14,1.37876,1.3949,1.3628
04/02/14,1.37795,0,0
04/01/14,1.37623,0,0
03/31/14,1.37589,1.392,1.36
03/28/14,1.37826,1.3936,1.3631
03/27/14,1.38114,1.3965,1.366
03/26/14,1.38129,1.3985,1.3643
03/25/14,1.37945,1.3949,1.3641
03/24/14,1.37963,1.3963,1.3632
03/21/14,1.38435,1.4003,1.3686
03/20/14,1.39142,1.4082,1.3748
03/19/14,1.39162,0,0
03/18/14,1.39104,0,0
03/17/14,1.39135,1.4081,1.3748
03/14/14,1.3902,1.4065,1.374
03/13/14,1.38705,0,0
03/12/14,1.38705,1.4032,1.3711
03/11/14,1.38796,0,0
03/10/14,1.38399,1.4009,1.3673
03/07/14,1.37554,1.3908,1.3604
03/06/14,1.37372,0,0
03/05/14,1.37544,0,0
03/04/14,1.37822,1.3954,1.3612
03/03/14,1.37561,0,0
02/28/14,1.36972,1.3865,1.3531
02/27/14,1.37305,1.3884,1.3579
02/26/14,1.37412,1.3902,1.3582
02/25/14,1.37388,1.3892,1.3587
02/24/14,1.37342,1.3899,1.3572
02/21/14,1.37367,0,0
02/20/14,1.37452,1.3909,1.3583
02/19/14,1.37188,1.3885,1.3555
02/18/14,1.37009,1.3865,1.3539
02/17/14,1.36731,1.3839,1.3509
02/14/14,1.36294,0,0
02/13/14,1.36323,0,0
02/12/14,1.36491,1.3807,1.3493
02/11/14,1.36331,1.379,1.3478
02/10/14,1.36039,1.3769,1.3441
02/07/14,1.3538,1.3703,1.3375
02/06/14,1.35184,0,0
02/05/14,1.351,1.3677,1.3345
02/04/14,1.34942,1.3651,1.3339
02/03/14,1.353,1.3698,1.3364
01/31/14,1.36286,1.3788,1.3471
01/30/14,1.36612,1.382,1.3505
01/29/14,1.36705,0,0
01/28/14,1.36786,0,0
01/27/14,1.36503,0,0
01/24/14,1.35884,1.3749,1.343
01/23/14,1.35521,0,0
01/22/14,1.35446,0,0
01/21/14,1.35446,1.3708,1.3384
01/20/14,1.35662,1.3735,1.3399
01/17/14,1.36172,1.3776,1.346
01/16/14,1.36441,1.3804,1.3486
01/15/14,1.36693,1.382,1.352
