Date,Open,High,Low,Close,Volume,Adjusted Close
04/11/14,1204.07,1204.07,1204.07,1204.07,0,1204.07
04/10/14,1213.46,1213.46,1213.46,1213.46,0,1213.46
04/09/14,1190.13,1190.13,1190.13,1190.13,0,1190.13
04/07/14,1193.78,1193.78,1193.78,1193.78,0,1193.78
04/04/14,1233.93,1233.93,1233.93,1233.93,0,1233.93
04/03/14,1210.71,1210.71,1210.71,1210.71,0,1210.71
04/02/14,1222.47,1222.47,1222.47,1222.47,0,1222.47
04/01/14,1235.74,1235.74,1235.74,1235.74,0,1235.74
03/31/14,1226.1,1226.1,1226.1,1226.1,0,1226.1
03/28/14,1186.28,1186.28,1186.28,1186.28,0,1186.28
03/27/14,1179.47,1179.47,1179.47,1179.47,0,1179.47
03/26/14,1198.89,1198.89,1198.89,1198.89,0,1198.89
03/25/14,1170.2,1170.2,1170.2,1170.2,0,1170.2
03/24/14,1131.6,1131.6,1131.6,1131.6,0,1131.6
03/18/14,1161.26,1161.26,1161.26,1161.26,0,1161.26
03/17/14,1114.66,1114.66,1114.66,1114.66,0,1114.66
03/14/14,1062.47,1062.47,1062.47,1062.47,0,1062.47
03/13/14,1077.89,1077.89,1077.89,1077.89,0,1077.89
03/11/14,1132.05,1132.05,1132.05,1132.05,0,1132.05
03/07/14,1158.87,1158.87,1158.87,1158.87,0,1158.87
03/06/14,1164.63,1164.63,1164.63,1164.63,0,1164.63
03/05/14,1182.05,1182.05,1182.05,1182.05,0,1182.05
03/04/14,1184.22,1184.22,1184.22,1184.22,0,1184.22
03/03/14,1115.06,1115.06,1115.06,1115.06,0,1115.06
02/28/14,1267.27,1267.27,1267.27,1267.27,0,1267.27
02/27/14,1260.95,1260.95,1260.95,1260.95,0,1260.95
02/26/14,1286.07,1286.07,1286.07,1286.07,0,1286.07
02/25/14,1306.37,1306.37,1306.37,1306.37,0,1306.37
02/24/14,1318.98,1318.98,1318.98,1318.98,0,1318.98
02/21/14,1315.54,1315.54,1315.54,1315.54,0,1315.54
02/20/14,1303.15,1303.15,1303.15,1303.15,0,1303.15
02/19/14,1306,1306,1306,1306,0,1306
02/18/14,1343.62,1343.62,1343.62,1343.62,0,1343.62
02/17/14,1347.41,1347.41,1347.41,1347.41,0,1347.41
02/14/14,1343.2,1343.2,1343.2,1343.2,0,1343.2
02/13/14,1321.61,1321.61,1321.61,1321.61,0,1321.61
02/12/14,1353.17,1353.17,1353.17,1353.17,0,1353.17
02/11/14,1341.85,1341.85,1341.85,1341.85,0,1341.85
02/10/14,1336.02,1336.02,1336.02,1336.02,0,1336.02
02/07/14,1341.49,1341.49,1341.49,1341.49,0,1341.49
02/06/14,1330.28,1330.28,1330.28,1330.28,0,1330.28
02/05/14,1317.5,1317.5,1317.5,1317.5,0,1317.5
02/04/14,1291.82,1291.82,1291.82,1291.82,0,1291.82
02/03/14,1293.2,1293.2,1293.2,1293.2,0,1293.2
01/31/14,1301.02,1301.02,1301.02,1301.02,0,1301.02
01/30/14,1320.9,1320.9,1320.9,1320.9,0,1320.9
01/29/14,1308,1308,1308,1308,0,1308
01/28/14,1332.51,1332.51,1332.51,1332.51,0,1332.51
01/27/14,1346.51,1346.51,1346.51,1346.51,0,1346.51
01/24/14,1364.11,1364.11,1364.11,1364.11,0,1364.11
01/23/14,1381.59,1381.59,1381.59,1381.59,0,1381.59
01/22/14,1391.75,1391.75,1391.75,1391.75,0,1391.75
01/21/14,1395.87,1395.87,1395.87,1395.87,0,1395.87
01/20/14,1394.49,1394.49,1394.49,1394.49,0,1394.49
01/17/14,1395.79,1395.79,1395.79,1395.79,0,1395.79
01/16/14,1397.23,1397.23,1397.23,1397.23,0,1397.23
01/15/14,1401.78,1401.78,1401.78,1401.78,0,1401.78
01/14/14,1388.69,1388.69,1388.69,1388.69,0,1388.69
01/13/14,1401.82,1401.82,1401.82,1401.82,0,1401.82
01/10/14,1395.91,1395.91,1395.91,1395.91,0,1395.91
01/09/14,1388.86,1388.86,1388.86,1388.86,0,1388.86
01/08/14,1390.35,1390.35,1390.35,1390.35,0,1390.35
01/06/14,1388.28,1388.28,1388.28,1388.28,0,1388.28
12/30/13,1442.73,1442.73,1442.73,1442.73,0,1442.73
12/27/13,1445.39,1445.39,1445.39,1445.39,0,1445.39
12/26/13,1448.29,1448.29,1448.29,1448.29,0,1448.29
12/25/13,1447.5,1447.5,1447.5,1447.5,0,1447.5
12/24/13,1454.02,1454.02,1454.02,1454.02,0,1454.02
12/23/13,1453.1,1453.1,1453.1,1453.1,0,1453.1
12/20/13,1429.91,1429.91,1429.91,1429.91,0,1429.91
12/19/13,1431.11,1431.11,1431.11,1431.11,0,1431.11
12/18/13,1423.87,1423.87,1423.87,1423.87,0,1423.87
12/17/13,1414.68,1414.68,1414.68,1414.68,0,1414.68
12/16/13,1407.25,1407.25,1407.25,1407.25,0,1407.25
12/13/13,1391.85,1391.85,1391.85,1391.85,0,1391.85
12/12/13,1393.57,1393.57,1393.57,1393.57,0,1393.57
12/11/13,1409.28,1409.28,1409.28,1409.28,0,1409.28
12/10/13,1409.85,1409.85,1409.85,1409.85,0,1409.85
12/09/13,1412.08,1412.08,1412.08,1412.08,0,1412.08
12/06/13,1390.61,1390.61,1390.61,1390.61,0,1390.61
12/05/13,1362.55,1362.55,1362.55,1362.55,0,1362.55
12/04/13,1364.44,1364.44,1364.44,1364.44,0,1364.44
12/03/13,1372.44,1372.44,1372.44,1372.44,0,1372.44
12/02/13,1398.74,1398.74,1398.74,1398.74,0,1398.74
11/29/13,1402.93,1402.93,1402.93,1402.93,0,1402.93
11/28/13,1406.51,1406.51,1406.51,1406.51,0,1406.51
11/27/13,1404.31,1404.31,1404.31,1404.31,0,1404.31
11/26/13,1416.43,1416.43,1416.43,1416.43,0,1416.43
11/25/13,1433.55,1433.55,1433.55,1433.55,0,1433.55
11/22/13,1444.91,1444.91,1444.91,1444.91,0,1444.91
11/21/13,1425.86,1425.86,1425.86,1425.86,0,1425.86
11/20/13,1447.2,1447.2,1447.2,1447.2,0,1447.2
11/19/13,1455.04,1455.04,1455.04,1455.04,0,1455.04
11/18/13,1462.98,1462.98,1462.98,1462.98,0,1462.98
11/15/13,1444.24,1444.24,1444.24,1444.24,0,1444.24
11/14/13,1434.44,1434.44,1434.44,1434.44,0,1434.44
11/13/13,1406.92,1406.92,1406.92,1406.92,0,1406.92
11/12/13,1437.37,1437.37,1437.37,1437.37,0,1437.37
11/11/13,1427.93,1427.93,1427.93,1427.93,0,1427.93
11/08/13,1435.12,1435.12,1435.12,1435.12,0,1435.12
11/07/13,1468.22,1468.22,1468.22,1468.22,0,1468.22
11/06/13,1458.93,1458.93,1458.93,1458.93,0,1458.93
11/05/13,1460.23,1460.23,1460.23,1460.23,0,1460.23
11/01/13,1475.18,1475.18,1475.18,1475.18,0,1475.18
10/31/13,1480.42,1480.42,1480.42,1480.42,0,1480.42
10/30/13,1493.14,1493.14,1493.14,1493.14,0,1493.14
10/29/13,1491.56,1491.56,1491.56,1491.56,0,1491.56
10/28/13,1493.11,1493.11,1493.11,1493.11,0,1493.11
10/25/13,1492.2,1492.2,1492.2,1492.2,0,1492.2
10/24/13,1493.85,1493.85,1493.85,1493.85,0,1493.85
10/23/13,1494.96,1494.96,1494.96,1494.96,0,1494.96
10/22/13,1518.54,1518.54,1518.54,1518.54,0,1518.54
10/21/13,1514.39,1514.39,1514.39,1514.39,0,1514.39
10/18/13,1516.62,1516.62,1516.62,1516.62,0,1516.62
10/17/13,1491.85,1491.85,1491.85,1491.85,0,1491.85
10/16/13,1500.25,1500.25,1500.25,1500.25,0,1500.25
10/15/13,1495.31,1495.31,1495.31,1495.31,0,1495.31
10/14/13,1473.97,1473.97,1473.97,1473.97,0,1473.97
10/11/13,1477,1477,1477,1477,0,1477
10/10/13,1484.82,1484.82,1484.82,1484.82,0,1484.82
10/09/13,1461,1461,1461,1461,0,1461
10/08/13,1471.65,1471.65,1471.65,1471.65,0,1471.65
10/07/13,1444.32,1444.32,1444.32,1444.32,0,1444.32
10/04/13,1443.15,1443.15,1443.15,1443.15,0,1443.15
10/03/13,1427.81,1427.81,1427.81,1427.81,0,1427.81
10/02/13,1421.94,1421.94,1421.94,1421.94,0,1421.94
10/01/13,1438.04,1438.04,1438.04,1438.04,0,1438.04
