Date,Rate,High (est),Low (est)
04/16/14,0.00976179,0,0
04/15/14,0.00976179,0,0
04/14/14,0.00976179,0,0
04/11/14,0.00976179,0,0
04/10/14,0.00976179,0,0
04/09/14,0.00976179,0,0
04/08/14,0.00966425,0,0
04/07/14,0.00966425,0.0097814,0.0095485
04/04/14,0.00963755,0,0
04/03/14,0.00963755,0.0097457,0.0095306
04/02/14,0.00973575,0,0
04/01/14,0.00973575,0,0
03/31/14,0.00973575,0.0098538,0.0096191
03/28/14,0.00983821,0,0
03/27/14,0.00983821,0,0
03/26/14,0.00983821,0,0
03/25/14,0.00983821,0,0
03/24/14,0.00983821,0,0
03/21/14,0.00983821,0,0
03/20/14,0.00983821,0,0
03/19/14,0.00983821,0,0
03/18/14,0.00983821,0,0
03/17/14,0.00986064,0,0
03/14/14,0.00976179,0,0
03/13/14,0.00973575,0,0
03/12/14,0.00973575,0,0
03/11/14,0.00973575,0,0
03/10/14,0.00973575,0,0
03/07/14,0.00973575,0.0098538,0.0096191
03/06/14,0.00983821,0,0
03/05/14,0.00983821,0,0
03/04/14,0.00986064,0,0
03/03/14,0.00983821,0,0
02/28/14,0.00983821,0,0
02/27/14,0.00983821,0,0
02/26/14,0.00983821,0,0
02/25/14,0.00983821,0,0
02/24/14,0.00983821,0,0
02/21/14,0.00983821,0,0
02/20/14,0.00983821,0,0
02/19/14,0.00983821,0,0
02/18/14,0.00983821,0,0
02/17/14,0.00983821,0,0
02/14/14,0.00983821,0,0
02/13/14,0.00983821,0,0
02/12/14,0.00983821,0,0
02/11/14,0.00983821,0,0
02/10/14,0.00983821,0,0
02/07/14,0.00983821,0,0
02/06/14,0.00986064,0,0
02/05/14,0.00986064,0,0
02/04/14,0.00976179,0,0
02/03/14,0.00976179,0,0
01/31/14,0.00976179,0,0
01/30/14,0.00973575,0,0
01/29/14,0.00973575,0.0098538,0.0096191
01/28/14,0.00972359,0,0
01/27/14,0.00972359,0,0
01/24/14,0.00963755,0,0
01/23/14,0.00963755,0,0
01/22/14,0.00963755,0,0
01/21/14,0.00963755,0,0
01/20/14,0.00963755,0,0
01/17/14,0.00963755,0,0
01/16/14,0.00963755,0.0097457,0.0095306
01/15/14,0.00966425,0,0
01/14/14,0.00966425,0.0097814,0.0095485
01/13/14,0.00956245,0.0096698,0.0094563
01/10/14,0.00953507,0,0
01/09/14,0.00953507,0.0096539,0.0094177
01/08/14,0.00956245,0,0
01/07/14,0.00956245,0.0096698,0.0094563
01/06/14,0.00953507,0,0
01/03/14,0.00953507,0,0
01/02/14,0.00953507,0,0
01/01/14,0.00953507,0,0
12/31/13,0.00953507,0,0
12/30/13,0.00953507,0.0096539,0.0094177
12/27/13,0.00963755,0,0
12/26/13,0.00963755,0,0
12/25/13,0.00963755,0,0
12/24/13,0.00963755,0,0
12/23/13,0.00963755,0,0
