Date,Value
04/14/14,2.65
04/11/14,2.63
04/10/14,2.65
04/09/14,2.71
04/08/14,2.69
04/07/14,2.71
04/04/14,2.74
04/03/14,2.8
04/02/14,2.82
04/01/14,2.77
03/31/14,2.73
03/28/14,2.73
03/27/14,2.69
03/26/14,2.71
03/25/14,2.75
03/24/14,2.74
03/21/14,2.75
03/20/14,2.79
03/19/14,2.78
03/18/14,2.68
03/17/14,2.7
03/14/14,2.65
03/13/14,2.66
03/12/14,2.73
03/11/14,2.77
03/10/14,2.79
03/07/14,2.8
03/06/14,2.74
03/05/14,2.7
03/04/14,2.7
03/03/14,2.6
02/28/14,2.66
02/27/14,2.65
02/26/14,2.67
02/25/14,2.7
02/24/14,2.75
02/21/14,2.73
02/20/14,2.76
02/19/14,2.73
02/18/14,2.71
02/14/14,2.75
02/13/14,2.73
02/12/14,2.8
02/11/14,2.75
02/10/14,2.7
02/07/14,2.71
02/06/14,2.73
02/05/14,2.7
02/04/14,2.64
02/03/14,2.61
01/31/14,2.67
01/30/14,2.72
01/29/14,2.69
01/28/14,2.77
01/27/14,2.78
01/24/14,2.75
01/23/14,2.79
01/22/14,2.87
01/21/14,2.85
01/17/14,2.84
01/16/14,2.86
01/15/14,2.9
01/14/14,2.88
01/13/14,2.84
01/10/14,2.88
01/09/14,2.97
01/08/14,3.01
01/07/14,2.96
01/06/14,2.98
01/03/14,3.01
01/02/14,3
12/31/13,3.04
12/30/13,2.99
12/27/13,3.02
12/26/13,3
12/24/13,2.99
12/23/13,2.94
12/20/13,2.89
12/19/13,2.94
12/18/13,2.89
12/17/13,2.85
12/16/13,2.89
12/13/13,2.88
12/12/13,2.89
12/11/13,2.86
12/10/13,2.81
12/09/13,2.86
12/06/13,2.88
12/05/13,2.88
12/04/13,2.84
12/03/13,2.79
12/02/13,2.81
11/29/13,2.75
11/27/13,2.74
11/26/13,2.71
11/25/13,2.74
11/22/13,2.75
11/21/13,2.79
11/20/13,2.8
11/19/13,2.71
11/18/13,2.67
11/15/13,2.71
11/14/13,2.69
11/13/13,2.75
11/12/13,2.8
11/08/13,2.77
11/07/13,2.63
11/06/13,2.67
11/05/13,2.69
11/04/13,2.63
11/01/13,2.65
10/31/13,2.57
10/30/13,2.55
10/29/13,2.53
10/28/13,2.54
10/25/13,2.53
10/24/13,2.53
10/23/13,2.51
10/22/13,2.54
10/21/13,2.63
10/18/13,2.6
10/17/13,2.61
10/16/13,2.69
10/15/13,2.75
10/11/13,2.7
10/10/13,2.71
10/09/13,2.68
10/08/13,2.66
10/07/13,2.65
10/04/13,2.66
10/03/13,2.62
10/02/13,2.63
10/01/13,2.66
09/30/13,2.64
09/27/13,2.64
09/26/13,2.66
09/25/13,2.63
09/24/13,2.67
09/23/13,2.72
09/20/13,2.75
09/19/13,2.76
09/18/13,2.69
09/17/13,2.86
09/16/13,2.88
09/13/13,2.9
09/12/13,2.92
09/11/13,2.93
09/10/13,2.96
09/09/13,2.9
09/06/13,2.94
09/05/13,2.98
09/04/13,2.9
09/03/13,2.86
08/30/13,2.78
08/29/13,2.75
08/28/13,2.78
08/27/13,2.72
08/26/13,2.79
08/23/13,2.82
08/22/13,2.9
08/21/13,2.87
08/20/13,2.82
08/19/13,2.88
08/16/13,2.84
08/15/13,2.77
08/14/13,2.71
08/13/13,2.71
08/12/13,2.61
08/09/13,2.57
08/08/13,2.58
08/07/13,2.61
08/06/13,2.67
08/05/13,2.67
08/02/13,2.63
08/01/13,2.74
07/31/13,2.6
07/30/13,2.63
07/29/13,2.61
07/26/13,2.58
07/25/13,2.61
07/24/13,2.61
07/23/13,2.53
07/22/13,2.5
07/19/13,2.5
07/18/13,2.56
07/17/13,2.52
07/16/13,2.55
07/15/13,2.57
07/12/13,2.61
07/11/13,2.6
07/10/13,2.7
07/09/13,2.65
07/08/13,2.65
07/05/13,2.73
07/03/13,2.52
07/02/13,2.48
07/01/13,2.5
06/28/13,2.52
06/27/13,2.49
06/26/13,2.55
06/25/13,2.6
06/24/13,2.57
06/21/13,2.52
06/20/13,2.41
06/19/13,2.33
06/18/13,2.2
06/17/13,2.19
06/14/13,2.14
06/13/13,2.19
06/12/13,2.25
06/11/13,2.2
06/10/13,2.22
06/07/13,2.17
06/06/13,2.08
06/05/13,2.1
06/04/13,2.14
06/03/13,2.13
05/31/13,2.16
05/30/13,2.13
05/29/13,2.13
05/28/13,2.15
05/24/13,2.01
05/23/13,2.02
05/22/13,2.03
05/21/13,1.94
05/20/13,1.97
05/17/13,1.95
05/16/13,1.87
05/15/13,1.94
05/14/13,1.96
05/13/13,1.92
05/10/13,1.9
05/09/13,1.81
05/08/13,1.81
05/07/13,1.82
