Date,Open,High,Low,Settle,Volume,Open Interest
04/15/14,103.6,104.05,102.91,103.75,215829,169165
04/14/14,103.56,104.55,103.34,104.05,247478,191003
04/11/14,103.34,104.44,103.01,103.74,281502,209516
04/10/14,103.44,103.81,103.1,103.4,241019,225377
04/09/14,102.35,103.77,102.03,103.6,342288,248156
04/08/14,100.69,102.71,100.68,102.56,313666,273023
04/07/14,100.91,101.32,99.92,100.44,269821,309407
04/04/14,100.38,101.63,100.28,101.14,205683,316742
04/03/14,99.29,100.49,99.07,100.29,205402,324630
04/02/14,99.64,99.83,98.86,99.62,239800,326783
04/01/14,101.53,101.57,99.28,99.74,249748,334474
03/31/14,101.69,101.97,100.88,101.58,180167,339881
03/28/14,101.34,102.24,101.18,101.67,181309,339593
03/27/14,100.3,101.7,100.03,101.28,211194,336659
03/26/14,99.18,100.46,99.1,100.26,219848,339276
03/25/14,99.43,100.25,98.8,99.19,225830,339579
03/24/14,99.49,100.29,99.05,99.6,160853,342278
03/21/14,98.59,100.25,98.25,99.46,201769,345785
03/20/14,100.39,100.82,99.08,99.43,33880,22331
03/19/14,99.53,100.47,99.34,100.37,137235,54752
03/18/14,97.97,99.78,97.75,99.7,201762,87815
03/17/14,99.39,99.39,97.37,98.08,237910,130960
03/14/14,98.25,99.28,98.06,98.89,236528,150876
03/13/14,98.1,98.6,97.67,98.2,289240,180943
03/12/14,99.48,99.6,97.55,97.99,429173,211518
03/11/14,100.94,101.52,99.32,100.03,308853,232537
03/10/14,102.75,102.82,100.85,101.12,241562,250990
03/07/14,101.97,102.91,101.57,102.58,243333,267664
03/06/14,101.04,102.08,100.13,101.56,303646,285803
03/05/14,103.35,103.53,100.85,101.45,278934,295307
03/04/14,104.89,104.96,102.85,103.33,220577,304413
03/03/14,103,105.22,102.95,104.92,309163,307986
02/28/14,102.15,102.96,101.8,102.59,192648,314186
02/27/14,102.57,103.08,101.75,102.4,207916,318599
02/26/14,102.04,102.9,101.58,102.59,205279,320864
02/25/14,102.8,102.84,101.02,101.83,195351,324685
02/24/14,102.29,103.45,101.97,102.82,186261,320747
02/21/14,102.87,102.92,101.69,102.2,182497,327751
02/20/14,103.41,103.5,102.75,102.92,36263,29350
02/19/14,103.14,103.8,102.4,103.31,146856,31996
02/18/14,100.32,103.25,100.23,102.43,186739,68223
02/14/14,100.34,100.47,99.43,100.3,244152,142655
02/13/14,100.27,100.66,99.4,100.35,239664,173723
02/12/14,100.46,101.38,100.04,100.37,340067,208517
02/11/14,99.97,100.6,99.6,99.94,250064,236221
02/10/14,100.05,100.55,99.11,100.06,268742,259315
02/07/14,97.97,100.24,97.11,99.88,291845,269707
02/06/14,97.25,98.83,97.25,97.84,250114,277063
02/05/14,97.67,98.26,96.8,97.38,248708,283583
02/04/14,96.53,97.82,96.37,97.19,214920,289928
02/03/14,97.4,97.94,96.26,96.43,308979,305152
01/31/14,97.97,98.39,97.1,97.49,268687,314926
01/30/14,97.42,98.59,97.33,98.23,210248,323459
01/29/14,97.17,97.75,96.32,97.36,210900,334407
01/28/14,95.66,97.66,95.63,97.41,215979,336997
01/27/14,96.9,97.18,95.21,95.72,246691,342555
01/24/14,97.37,97.8,96.25,96.64,251145,343453
01/23/14,96.69,97.84,96.41,97.32,284062,347368
01/22/14,95.2,96.89,95.12,96.73,266317,353831
01/21/14,94,95.23,93.43,94.99,35625,20052
01/17/14,94.17,94.94,93.94,94.37,147655,51921
01/16/14,94.29,94.64,93.6,93.96,172354,69234
01/15/14,92.65,94.64,92.43,94.17,278256,111658
01/14/14,91.51,92.88,91.5,92.59,256858,142545
01/13/14,92.83,92.88,91.43,91.8,226778,162409
01/10/14,92.3,93.38,91.99,92.72,278775,181677
01/09/14,92.58,92.93,91.24,91.66,278827,206164
01/08/14,93.96,94.18,92.26,92.33,266624,229314
01/07/14,93.6,94.22,93.35,93.67,193171,239297
01/06/14,94.18,94.59,93.2,93.43,204269,248008
01/03/14,95.47,95.74,93.86,93.96,231405,253407
01/02/14,98.5,98.97,95.34,95.44,265565,259878
12/31/13,99.25,99.39,98.15,98.42,127689,267603
12/30/13,100.15,100.42,99.13,99.29,127389,277528
12/27/13,99.63,100.75,99.37,100.32,139051,283660
12/26/13,99.2,99.7,99.05,99.55,74317,283663
12/24/13,98.62,99.3,98.53,99.22,59661,284276
12/23/13,99.2,99.31,98.64,98.91,117452,290638
12/20/13,98.7,99.4,98.54,99.32,162514,294214
12/19/13,97.69,99.17,97.5,98.77,23575,16242
12/18/13,97.3,98.01,97.02,97.8,110988,47721
12/17/13,97.3,97.9,97,97.22,128151,71808
12/16/13,96.55,97.69,96.21,97.48,202512,101077
12/13/13,97.58,97.62,96.26,96.6,245917,128470
12/12/13,97.55,98.18,97.31,97.5,219604,153787
12/11/13,98.65,98.75,97.2,97.44,292813,189430
12/10/13,97.25,98.74,97.24,98.51,282425,218380
12/09/13,97.66,97.97,97.1,97.34,228086,249065
12/06/13,97.38,98.07,97.08,97.65,245491,278487
12/05/13,97.33,97.99,97.01,97.38,231303,295705
12/04/13,96.9,97.58,96.3,97.2,339399,317617
12/03/13,93.86,96.96,93.67,96.04,333173,326186
12/02/13,92.71,94.08,92.56,93.82,252414,334786
11/29/13,92.33,93.9,92.06,92.72,159719,341643
11/27/13,93.5,93.6,91.77,92.3,244028,344857
11/26/13,94.21,94.69,93.43,93.68,169978,348419
11/25/13,94.15,94.5,93.08,94.09,281119,345927
11/22/13,95.29,95.57,94.05,94.84,272212,353334
11/21/13,93.73,95.63,93.47,95.44,230087,352364
