Date,Open,High,Low,Close,Volume,Adjusted Close
04/14/14,1818.18,1834.19,1815.8,1830.61,3111540000,1830.61
04/11/14,1830.65,1835.07,1814.36,1815.69,3743460000,1815.69
04/10/14,1872.28,1872.53,1830.87,1833.08,3758780000,1833.08
04/09/14,1852.64,1872.43,1852.38,1872.18,3308650000,1872.18
04/08/14,1845.48,1854.95,1837.49,1851.96,3721450000,1851.96
04/07/14,1863.92,1864.04,1841.48,1845.04,3801540000,1845.04
04/04/14,1890.25,1897.28,1863.26,1865.09,3583750000,1865.09
04/03/14,1891.43,1893.8,1882.65,1888.77,3055600000,1888.77
04/02/14,1886.61,1893.17,1883.79,1890.9,3131660000,1890.9
04/01/14,1873.96,1885.84,1873.96,1885.52,3336190000,1885.52
03/31/14,1859.16,1875.18,1859.16,1872.34,3274300000,1872.34
03/28/14,1850.07,1866.63,1850.07,1857.62,2955520000,1857.62
03/27/14,1852.11,1855.55,1842.11,1849.04,3733430000,1849.04
03/26/14,1867.09,1875.92,1852.56,1852.56,3480850000,1852.56
03/25/14,1859.48,1871.87,1855.96,1865.62,3200560000,1865.62
03/24/14,1867.67,1873.34,1849.69,1857.44,3409000000,1857.44
03/21/14,1874.53,1883.97,1863.46,1866.52,5270710000,1866.52
03/20/14,1860.09,1873.49,1854.63,1872.01,3327540000,1872.01
03/19/14,1872.25,1874.14,1850.35,1860.77,3289210000,1860.77
03/18/14,1858.92,1873.76,1858.92,1872.25,2930190000,1872.25
03/17/14,1842.81,1862.3,1842.81,1858.83,2860490000,1858.83
03/14/14,1845.07,1852.44,1839.57,1841.13,3285460000,1841.13
03/13/14,1869.06,1874.4,1841.86,1846.34,3670990000,1846.34
03/12/14,1866.15,1868.38,1854.38,1868.2,3270860000,1868.2
03/11/14,1878.26,1882.35,1863.88,1867.63,3392400000,1867.63
03/10/14,1877.86,1877.87,1867.04,1877.17,3021350000,1877.17
03/07/14,1878.52,1883.57,1870.56,1878.04,3564740000,1878.04
03/06/14,1874.18,1881.94,1874.18,1877.03,3360450000,1877.03
03/05/14,1874.05,1876.53,1871.11,1873.81,3392990000,1873.81
03/04/14,1849.23,1876.23,1849.23,1873.91,3765770000,1873.91
03/03/14,1857.68,1857.68,1834.44,1845.73,3428220000,1845.73
02/28/14,1855.12,1867.92,1847.67,1859.45,3917450000,1859.45
02/27/14,1844.9,1854.53,1841.13,1854.29,3547460000,1854.29
02/26/14,1845.79,1852.65,1840.66,1845.16,3716730000,1845.16
02/25/14,1847.66,1852.91,1840.19,1845.12,3515560000,1845.12
